fecha	sitio	B01	B02	B03	B04	B05	B06	B07	B08	B8A	B11	B12	turb
2022-09-23	LR2	0.1373	0.1422	0.1956	0.1566	0.1966	0.1444	0.1511	0.1418	0.1333	0.1236	0.118	42.5
2022-09-23	LR3	0.1347	0.1398	0.1956	0.1594	0.1971	0.1519	0.152	0.148	0.1361	0.1246	0.1165	43
2022-10-03	LR1	0.1317	0.1437	0.2188	0.176	0.2176	0.1547	0.1586	0.1496	0.1372	0.1205	0.1154	51
2022-10-03	LR2	0.1389	0.145	0.221	0.1794	0.2229	0.1572	0.1575	0.1535	0.1425	0.1273	0.121	53
2022-10-03	LR3	0.1337	0.1466	0.2138	0.1768	0.2172	0.1609	0.1594	0.1602	0.1414	0.1294	0.1194	50
2022-10-13	LR1	0.1349	0.1498	0.2238	0.1728	0.2171	0.1612	0.1713	0.1596	0.1443	0.125	0.1152	55
2022-10-13	LR2	0.1393	0.1502	0.2256	0.173	0.22	0.1632	0.1694	0.1622	0.1503	0.1367	0.1227	57
2022-10-13	LR3	0.1398	0.1513	0.2154	0.1684	0.2098	0.1654	0.1709	0.166	0.1491	0.1303	0.1233	53
2022-10-18	LR1	0.1368	0.1424	0.2104	0.1715	0.2026	0.1503	0.1569	0.1494	0.1304	0.1211	0.1156	49
2022-10-18	LR2	0.1401	0.1437	0.2124	0.1712	0.208	0.1512	0.1582	0.151	0.1389	0.1274	0.1202	51.5
2022-10-18	LR3	0.1408	0.143	0.2096	0.1718	0.2054	0.1578	0.1624	0.1554	0.1443	0.1239	0.1178	49
2022-10-28	LR1	0.1389	0.1387	0.1907	0.1653	0.1824	0.1465	0.1543	0.1425	0.139	0.1326	0.1248	42
2022-10-28	LR2	0.1428	0.1486	0.1966	0.1759	0.1827	0.1421	0.1496	0.15310000000000001	0.1416	0.1334	0.1242	41
2022-10-28	LR3	0.1439	0.1504	0.2	0.1776	0.1894	0.1574	0.1611	0.156	0.1558	0.1389	0.1288	38
2022-11-02	LR1	0.1299	0.1283	0.1621	0.1402	0.1646	0.1353	0.1379	0.1331	0.132	0.1217	0.1166	37.5
2022-11-02	LR2	0.1372	0.1373	0.1678	0.1453	0.1675	0.1351	0.1282	0.1367	0.1352	0.1362	0.1233	36.5
2022-11-02	LR3	0.1329	0.1293	0.1621	0.1408	0.1655	0.1358	0.1382	0.1317	0.1284	0.1254	0.1179	36.5
